location,city,local,parameter,value,unit
FR15039,Isère,2020-12-17T23:00:00+01:00,pm10,35.9,µg/m³
FR15039,Isère,2020-12-17T23:00:00+01:00,no2,51.5,µg/m³
FR15039,Isère,2020-12-17T23:00:00+01:00,pm25,19.2,µg/m³
FR15039,Isère,2020-12-17T22:00:00+01:00,pm25,20.5,µg/m³
FR15039,Isère,2020-12-17T22:00:00+01:00,no2,53.4,µg/m³
FR15039,Isère,2020-12-17T22:00:00+01:00,pm10,42.3,µg/m³
FR15039,Isère,2020-12-17T21:00:00+01:00,pm25,23.3,µg/m³
FR15039,Isère,2020-12-17T21:00:00+01:00,no2,68.4,µg/m³
FR15039,Isère,2020-12-17T21:00:00+01:00,pm10,46.7,µg/m³
FR15039,Isère,2020-12-17T20:00:00+01:00,pm25,29.1,µg/m³
FR15039,Isère,2020-12-17T20:00:00+01:00,no2,72.3,µg/m³
FR15039,Isère,2020-12-17T20:00:00+01:00,pm10,61.5,µg/m³
FR15039,Isère,2020-12-17T19:00:00+01:00,pm25,20.9,µg/m³
FR15039,Isère,2020-12-17T19:00:00+01:00,pm10,64.1,µg/m³
FR15039,Isère,2020-12-17T19:00:00+01:00,no2,86,µg/m³
FR15039,Isère,2020-12-17T18:00:00+01:00,no2,86.8,µg/m³
FR15039,Isère,2020-12-17T18:00:00+01:00,pm25,17.8,µg/m³
FR15039,Isère,2020-12-17T18:00:00+01:00,pm10,81.7,µg/m³
FR15039,Isère,2020-12-17T17:00:00+01:00,pm10,68.2,µg/m³
FR15039,Isère,2020-12-17T17:00:00+01:00,pm25,14.5,µg/m³
FR15039,Isère,2020-12-17T17:00:00+01:00,no2,81.9,µg/m³
FR15039,Isère,2020-12-17T16:00:00+01:00,pm25,12.9,µg/m³
FR15039,Isère,2020-12-17T16:00:00+01:00,no2,72,µg/m³
FR15039,Isère,2020-12-17T16:00:00+01:00,pm10,51.3,µg/m³
FR15039,Isère,2020-12-17T15:00:00+01:00,pm10,56.8,µg/m³
FR15039,Isère,2020-12-17T15:00:00+01:00,no2,60.6,µg/m³
FR15039,Isère,2020-12-17T15:00:00+01:00,pm25,16.1,µg/m³
FR15039,Isère,2020-12-17T14:00:00+01:00,pm10,54.8,µg/m³
FR15039,Isère,2020-12-17T14:00:00+01:00,no2,64.3,µg/m³
FR15039,Isère,2020-12-17T14:00:00+01:00,pm25,21.2,µg/m³
FR15039,Isère,2020-12-17T13:00:00+01:00,pm10,49.6,µg/m³
FR15039,Isère,2020-12-17T13:00:00+01:00,no2,62.9,µg/m³
FR15039,Isère,2020-12-17T13:00:00+01:00,pm25,23.7,µg/m³
FR15039,Isère,2020-12-17T12:00:00+01:00,no2,55.1,µg/m³
FR15039,Isère,2020-12-17T12:00:00+01:00,pm25,18.7,µg/m³
FR15039,Isère,2020-12-17T12:00:00+01:00,pm10,42.5,µg/m³
FR15039,Isère,2020-12-17T11:00:00+01:00,no2,43.6,µg/m³
FR15039,Isère,2020-12-17T11:00:00+01:00,pm10,49.2,µg/m³
FR15039,Isère,2020-12-17T11:00:00+01:00,pm25,18.8,µg/m³
FR15039,Isère,2020-12-17T10:00:00+01:00,no2,54.1,µg/m³
FR15039,Isère,2020-12-17T10:00:00+01:00,pm25,20.9,µg/m³
FR15039,Isère,2020-12-17T10:00:00+01:00,pm10,42,µg/m³
FR15039,Isère,2020-12-17T09:00:00+01:00,no2,55.3,µg/m³
FR15039,Isère,2020-12-17T09:00:00+01:00,pm25,15.6,µg/m³
FR15039,Isère,2020-12-17T09:00:00+01:00,pm10,34.9,µg/m³
FR15039,Isère,2020-12-17T08:00:00+01:00,no2,52,µg/m³
FR15039,Isère,2020-12-17T08:00:00+01:00,pm25,16.1,µg/m³
FR15039,Isère,2020-12-17T08:00:00+01:00,pm10,26.6,µg/m³
FR15039,Isère,2020-12-17T07:00:00+01:00,pm25,10.5,µg/m³
FR15039,Isère,2020-12-17T07:00:00+01:00,no2,36.3,µg/m³
FR15039,Isère,2020-12-17T07:00:00+01:00,pm10,19,µg/m³
FR15039,Isère,2020-12-17T06:00:00+01:00,pm25,10.4,µg/m³
FR15039,Isère,2020-12-17T06:00:00+01:00,no2,30.2,µg/m³
FR15039,Isère,2020-12-17T06:00:00+01:00,pm10,18.5,µg/m³
FR15039,Isère,2020-12-17T05:00:00+01:00,no2,26.1,µg/m³
FR15039,Isère,2020-12-17T05:00:00+01:00,pm10,18.7,µg/m³
FR15039,Isère,2020-12-17T05:00:00+01:00,pm25,11.7,µg/m³
FR15039,Isère,2020-12-17T04:00:00+01:00,no2,26,µg/m³
FR15039,Isère,2020-12-17T04:00:00+01:00,pm25,10.9,µg/m³
FR15039,Isère,2020-12-17T04:00:00+01:00,pm10,19.1,µg/m³
FR15039,Isère,2020-12-17T03:00:00+01:00,pm10,22.5,µg/m³
FR15039,Isère,2020-12-17T03:00:00+01:00,pm25,14.6,µg/m³
FR15039,Isère,2020-12-17T03:00:00+01:00,no2,29.3,µg/m³
FR15039,Isère,2020-12-17T02:00:00+01:00,no2,31.1,µg/m³
FR15039,Isère,2020-12-17T02:00:00+01:00,pm10,27.7,µg/m³
FR15039,Isère,2020-12-17T02:00:00+01:00,pm25,15.3,µg/m³
FR15039,Isère,2020-12-17T01:00:00+01:00,pm25,14.6,µg/m³
FR15039,Isère,2020-12-17T01:00:00+01:00,no2,32.7,µg/m³
FR15039,Isère,2020-12-17T01:00:00+01:00,pm10,21,µg/m³
FR15039,Isère,2020-12-17T00:00:00+01:00,no2,35.4,µg/m³
FR15039,Isère,2020-12-17T00:00:00+01:00,pm10,18.7,µg/m³
FR15039,Isère,2020-12-17T00:00:00+01:00,pm25,12,µg/m³
FR15039,Isère,2020-12-16T23:00:00+01:00,no2,36.2,µg/m³
FR15039,Isère,2020-12-16T23:00:00+01:00,pm10,17.3,µg/m³
FR15039,Isère,2020-12-16T23:00:00+01:00,pm25,15.1,µg/m³
FR15039,Isère,2020-12-16T22:00:00+01:00,pm10,22,µg/m³
FR15039,Isère,2020-12-16T22:00:00+01:00,pm25,13.3,µg/m³
FR15039,Isère,2020-12-16T22:00:00+01:00,no2,40.7,µg/m³
FR15039,Isère,2020-12-16T21:00:00+01:00,no2,46.2,µg/m³
FR15039,Isère,2020-12-16T21:00:00+01:00,pm10,26.9,µg/m³
FR15039,Isère,2020-12-16T21:00:00+01:00,pm25,15,µg/m³
FR15039,Isère,2020-12-16T20:00:00+01:00,pm25,15.2,µg/m³
FR15039,Isère,2020-12-16T20:00:00+01:00,pm10,28.8,µg/m³
FR15039,Isère,2020-12-16T20:00:00+01:00,no2,51.3,µg/m³
FR15039,Isère,2020-12-16T19:00:00+01:00,pm10,29.7,µg/m³
FR15039,Isère,2020-12-16T19:00:00+01:00,no2,54.7,µg/m³
FR15039,Isère,2020-12-16T19:00:00+01:00,pm25,10.9,µg/m³
